MetabolightsId	InChIKey	HasPathways	KEGGPathways	WikiPathways	ReactomePathways
MTBLC109275	GICVUYWOEGQCFG-UHFFFAOYSA-N	0			
MTBLC109455	TWJCMQZMAPGUSG-JMFJKIOKSA-N	0			
MTBLC109541	ZWAVGFSZMACJHA-DQYPLSBCSA-N	0			
MTBLC10956	JVNVHNHITFVWIX-KZKUDURGSA-N	0			
MTBLC10965	CXMBCXQHOXUCEO-SCSAIBSYSA-L	0			
MTBLC10970	KIRGTNPWUTXDFF-PDQACDDGSA-N	0			
MTBLC10980	JVGVDSSUAVXRDY-MRVPVSSYSA-M	0			
MTBLC10983	WHBMMWSBFZVSSR-GSVOUGTGSA-M	1	ko00072,ko00650,ko01100,ko04024	WP1817,WP3602,WP1634,WP1706	R-HSA-77111,R-XTR-77111,R-SSC-77111,R-CFA-77111,R-BTA-77111,R-MMU-77111,R-GGA-77111,R-RNO-77111,R-OSA-77111,R-DRE-77111,R-TGU-77111,R-SCE-77111,R-ATH-77111
MTBLC10986	XHFVGHPGDLDEQO-ZETCQYMHSA-K	0			
MTBLC109895	AIFRHYZBTHREPW-UHFFFAOYSA-N	0			
MTBLC109896	SDNYRTVJOFMYIW-OIVUAWODSA-N	0			
MTBLC11	NGZXDRGWBULKFA-NSOVKSMOSA-N	0			
MTBLC110	FDNDLNFGITWTOZ-LJQANCHMSA-N	0			
MTBLC11009	VOXXWSYKYCBWHO-MRVPVSSYSA-M	0			
MTBLC11010	FKMUDVUPQINOSF-NHZRKUKBSA-N	0			
MTBLC110180	CJDRUOGAGYHKKD-FCXWBZPOSA-N	0			
MTBLC110195	QFVJRGJHSZSRJI-UHFFFAOYSA-N	0			
MTBLC110205	CJDRUOGAGYHKKD-FYGXBCQKSA-N	0			
MTBLC11022	MPUUQNGXJSEWTF-BYPYZUCNSA-M	0			
MTBLC110390	CRNOZLNQYAUXRK-NSHDSACASA-N	0			
MTBLC11041	HEXMLHKQVUFYME-BYPYZUCNSA-N	0			
MTBLC11047	WHBMMWSBFZVSSR-VKHMYHEASA-M	0			
MTBLC11060	PHIQHXFUZVPYII-LURJTMIESA-N	0			
MTBLC1109	WVPRAWNIVDFQBO-DUBIXASGSA-N	1	ko00130,ko01110		R-SCE-2142789
MTBLC111178	ANJTVLIZGCUXLD-UHFFFAOYSA-N	0			
MTBLC111205	UVWNKIZDVOMCKS-UHFFFAOYSA-N	0			
MTBLC111236	MZLRSFBNYSKEPU-XJKSGUPXSA-N	0			
MTBLC1113	VHTQQDXPNUTMNB-ONEGZZNKSA-N	0			
MTBLC111504	ZKSTYMJGEHZSFH-MBABXGOBSA-M	0			
MTBLC111505	YCJYNBLLJHFIIW-MBABXGOBSA-O	0			
MTBLC111511	CNHXIILVVNMOCU-URARBOGNSA-N	0			
MTBLC111513	LHASLBSEALHFGO-URARBOGNSA-N	0			
MTBLC111515	KLFKZIQAIPDJCW-GPOMZPHUSA-M	0			
MTBLC11152	GNSDEDOVXZDMKM-UHFFFAOYSA-N	0			
MTBLC111521	WQMTVIWUDHFWNR-VQVTYTSYSA-N	0			
MTBLC111542	ACVTTWBZLGNMCH-UMWONPOSSA-N	0			
MTBLC111544	KCQOVEKQXVJLSR-ZTWDQPHTSA-N	0			
MTBLC11173	VOJUXHHACRXLTD-UHFFFAOYSA-M	0			
MTBLC111762	AKPLHCDWDRPJGD-UHFFFAOYSA-N	0			
MTBLC111763	JMQXZRUQJGJVSC-HQJQHLMTSA-N	0			
MTBLC1121	XZOBUTBZRFDQBU-ARJAWSKDSA-N	0			
MTBLC112106	VSANSNPZLCXLRK-SSDOTTSWSA-N	0			
MTBLC112240	SWLJVDNUQDIJCV-UHFFFAOYSA-N	0			
